skill_folder	source_repo	source_path
agent-architecture-audit	everything-claude-code	/tmp/ecc/skills/agent-architecture-audit
continuous-agent-loop	everything-claude-code	/tmp/ecc/skills/continuous-agent-loop
automation-audit-ops	everything-claude-code	/tmp/ecc/skills/automation-audit-ops
agent-harness-construction	everything-claude-code	/tmp/ecc/skills/agent-harness-construction
uncloud	everything-claude-code	/tmp/ecc/skills/uncloud
click-path-audit	everything-claude-code	/tmp/ecc/skills/click-path-audit
mcp-server-patterns	everything-claude-code	/tmp/ecc/skills/mcp-server-patterns
cisco-ios-patterns	everything-claude-code	/tmp/ecc/skills/cisco-ios-patterns
agent-eval	everything-claude-code	/tmp/ecc/skills/agent-eval
healthcare-phi-compliance	everything-claude-code	/tmp/ecc/skills/healthcare-phi-compliance
lead-intelligence	everything-claude-code	/tmp/ecc/skills/lead-intelligence
java-coding-standards	everything-claude-code	/tmp/ecc/skills/java-coding-standards
product-lens	everything-claude-code	/tmp/ecc/skills/product-lens
quarkus-security	everything-claude-code	/tmp/ecc/skills/quarkus-security
kotlin-ktor-patterns	everything-claude-code	/tmp/ecc/skills/kotlin-ktor-patterns
kotlin-patterns	everything-claude-code	/tmp/ecc/skills/kotlin-patterns
research-ops	everything-claude-code	/tmp/ecc/skills/research-ops
deep-research	everything-claude-code	/tmp/ecc/skills/deep-research
swift-protocol-di-testing	everything-claude-code	/tmp/ecc/skills/swift-protocol-di-testing
python-testing	everything-claude-code	/tmp/ecc/skills/python-testing
fsharp-testing	everything-claude-code	/tmp/ecc/skills/fsharp-testing
cpp-testing	everything-claude-code	/tmp/ecc/skills/cpp-testing
returns-reverse-logistics	everything-claude-code	/tmp/ecc/skills/returns-reverse-logistics
videodb	everything-claude-code	/tmp/ecc/skills/videodb
jira-integration	everything-claude-code	/tmp/ecc/skills/jira-integration
laravel-plugin-discovery	everything-claude-code	/tmp/ecc/skills/laravel-plugin-discovery
orch-build-mvp	everything-claude-code	/tmp/ecc/skills/orch-build-mvp
cpp-coding-standards	everything-claude-code	/tmp/ecc/skills/cpp-coding-standards
springboot-verification	everything-claude-code	/tmp/ecc/skills/springboot-verification
ecc-guide	everything-claude-code	/tmp/ecc/skills/ecc-guide
orch-change-feature	everything-claude-code	/tmp/ecc/skills/orch-change-feature
ecc-tools-cost-audit	everything-claude-code	/tmp/ecc/skills/ecc-tools-cost-audit
santa-method	everything-claude-code	/tmp/ecc/skills/santa-method
ios-icon-gen	everything-claude-code	/tmp/ecc/skills/ios-icon-gen
visa-doc-translate	everything-claude-code	/tmp/ecc/skills/visa-doc-translate
vite-patterns	everything-claude-code	/tmp/ecc/skills/vite-patterns
context-budget	everything-claude-code	/tmp/ecc/skills/context-budget
video-editing	everything-claude-code	/tmp/ecc/skills/video-editing
network-interface-health	everything-claude-code	/tmp/ecc/skills/network-interface-health
api-connector-builder	everything-claude-code	/tmp/ecc/skills/api-connector-builder
flutter-dart-code-review	everything-claude-code	/tmp/ecc/skills/flutter-dart-code-review
openclaw-persona-forge	everything-claude-code	/tmp/ecc/skills/openclaw-persona-forge
ai-regression-testing	everything-claude-code	/tmp/ecc/skills/ai-regression-testing
netmiko-ssh-automation	everything-claude-code	/tmp/ecc/skills/netmiko-ssh-automation
springboot-tdd	everything-claude-code	/tmp/ecc/skills/springboot-tdd
agentic-engineering	everything-claude-code	/tmp/ecc/skills/agentic-engineering
manim-video	everything-claude-code	/tmp/ecc/skills/manim-video
workspace-surface-audit	everything-claude-code	/tmp/ecc/skills/workspace-surface-audit
plankton-code-quality	everything-claude-code	/tmp/ecc/skills/plankton-code-quality
scientific-db-pubmed-database	everything-claude-code	/tmp/ecc/skills/scientific-db-pubmed-database
codebase-onboarding	everything-claude-code	/tmp/ecc/skills/codebase-onboarding
scientific-thinking-scholar-evaluation	everything-claude-code	/tmp/ecc/skills/scientific-thinking-scholar-evaluation
nutrient-document-processing	everything-claude-code	/tmp/ecc/skills/nutrient-document-processing
strategic-compact	everything-claude-code	/tmp/ecc/skills/strategic-compact
energy-procurement	everything-claude-code	/tmp/ecc/skills/energy-procurement
dmux-workflows	everything-claude-code	/tmp/ecc/skills/dmux-workflows
kotlin-testing	everything-claude-code	/tmp/ecc/skills/kotlin-testing
x-api	everything-claude-code	/tmp/ecc/skills/x-api
perl-testing	everything-claude-code	/tmp/ecc/skills/perl-testing
frontend-a11y	everything-claude-code	/tmp/ecc/skills/frontend-a11y
golang-testing	everything-claude-code	/tmp/ecc/skills/golang-testing
angular-developer	everything-claude-code	/tmp/ecc/skills/angular-developer
bun-runtime	everything-claude-code	/tmp/ecc/skills/bun-runtime
council	everything-claude-code	/tmp/ecc/skills/council
agent-introspection-debugging	everything-claude-code	/tmp/ecc/skills/agent-introspection-debugging
verification-loop	everything-claude-code	/tmp/ecc/skills/verification-loop
prisma-patterns	everything-claude-code	/tmp/ecc/skills/prisma-patterns
make-interfaces-feel-better	everything-claude-code	/tmp/ecc/skills/make-interfaces-feel-better
inherit-legacy-style	everything-claude-code	/tmp/ecc/skills/inherit-legacy-style
cost-aware-llm-pipeline	everything-claude-code	/tmp/ecc/skills/cost-aware-llm-pipeline
unified-notifications-ops	everything-claude-code	/tmp/ecc/skills/unified-notifications-ops
swiftui-patterns	everything-claude-code	/tmp/ecc/skills/swiftui-patterns
healthcare-eval-harness	everything-claude-code	/tmp/ecc/skills/healthcare-eval-harness
inventory-demand-planning	everything-claude-code	/tmp/ecc/skills/inventory-demand-planning
deployment-patterns	everything-claude-code	/tmp/ecc/skills/deployment-patterns
laravel-tdd	everything-claude-code	/tmp/ecc/skills/laravel-tdd
homelab-vlan-segmentation	everything-claude-code	/tmp/ecc/skills/homelab-vlan-segmentation
motion-patterns	everything-claude-code	/tmp/ecc/skills/motion-patterns
blueprint	everything-claude-code	/tmp/ecc/skills/blueprint
redis-patterns	everything-claude-code	/tmp/ecc/skills/redis-patterns
orch-fix-defect	everything-claude-code	/tmp/ecc/skills/orch-fix-defect
skill-stocktake	everything-claude-code	/tmp/ecc/skills/skill-stocktake
blender-motion-state-inspection	everything-claude-code	/tmp/ecc/skills/blender-motion-state-inspection
motion-foundations	everything-claude-code	/tmp/ecc/skills/motion-foundations
mle-workflow	everything-claude-code	/tmp/ecc/skills/mle-workflow
ai-first-engineering	everything-claude-code	/tmp/ecc/skills/ai-first-engineering
ralphinho-rfc-pipeline	everything-claude-code	/tmp/ecc/skills/ralphinho-rfc-pipeline
react-performance	everything-claude-code	/tmp/ecc/skills/react-performance
nanoclaw-repl	everything-claude-code	/tmp/ecc/skills/nanoclaw-repl
prompt-optimizer	everything-claude-code	/tmp/ecc/skills/prompt-optimizer
ito-basket-compare	everything-claude-code	/tmp/ecc/skills/ito-basket-compare
homelab-network-readiness	everything-claude-code	/tmp/ecc/skills/homelab-network-readiness
evm-token-decimals	everything-claude-code	/tmp/ecc/skills/evm-token-decimals
homelab-network-setup	everything-claude-code	/tmp/ecc/skills/homelab-network-setup
tinystruct-patterns	everything-claude-code	/tmp/ecc/skills/tinystruct-patterns
laravel-patterns	everything-claude-code	/tmp/ecc/skills/laravel-patterns
codehealth-mcp	everything-claude-code	/tmp/ecc/skills/codehealth-mcp
architecture-decision-records	everything-claude-code	/tmp/ecc/skills/architecture-decision-records
carrier-relationship-management	everything-claude-code	/tmp/ecc/skills/carrier-relationship-management
gan-style-harness	everything-claude-code	/tmp/ecc/skills/gan-style-harness
frontend-patterns	everything-claude-code	/tmp/ecc/skills/frontend-patterns
llm-trading-agent-security	everything-claude-code	/tmp/ecc/skills/llm-trading-agent-security
django-celery	everything-claude-code	/tmp/ecc/skills/django-celery
accessibility	everything-claude-code	/tmp/ecc/skills/accessibility
skill-comply	everything-claude-code	/tmp/ecc/skills/skill-comply
django-tdd	everything-claude-code	/tmp/ecc/skills/django-tdd
hexagonal-architecture	everything-claude-code	/tmp/ecc/skills/hexagonal-architecture
react-testing	everything-claude-code	/tmp/ecc/skills/react-testing
quarkus-tdd	everything-claude-code	/tmp/ecc/skills/quarkus-tdd
rules-distill	everything-claude-code	/tmp/ecc/skills/rules-distill
ito-market-intelligence	everything-claude-code	/tmp/ecc/skills/ito-market-intelligence
hipaa-compliance	everything-claude-code	/tmp/ecc/skills/hipaa-compliance
production-scheduling	everything-claude-code	/tmp/ecc/skills/production-scheduling
springboot-security	everything-claude-code	/tmp/ecc/skills/springboot-security
regex-vs-llm-structured-text	everything-claude-code	/tmp/ecc/skills/regex-vs-llm-structured-text
healthcare-emr-patterns	everything-claude-code	/tmp/ecc/skills/healthcare-emr-patterns
perl-patterns	everything-claude-code	/tmp/ecc/skills/perl-patterns
claude-devfleet	everything-claude-code	/tmp/ecc/skills/claude-devfleet
dashboard-builder	everything-claude-code	/tmp/ecc/skills/dashboard-builder
orch-add-feature	everything-claude-code	/tmp/ecc/skills/orch-add-feature
search-first	everything-claude-code	/tmp/ecc/skills/search-first
nuxt4-patterns	everything-claude-code	/tmp/ecc/skills/nuxt4-patterns
team-agent-orchestration	everything-claude-code	/tmp/ecc/skills/team-agent-orchestration
quarkus-patterns	everything-claude-code	/tmp/ecc/skills/quarkus-patterns
security-bounty-hunter	everything-claude-code	/tmp/ecc/skills/security-bounty-hunter
messages-ops	everything-claude-code	/tmp/ecc/skills/messages-ops
nodejs-keccak256	everything-claude-code	/tmp/ecc/skills/nodejs-keccak256
agent-sort	everything-claude-code	/tmp/ecc/skills/agent-sort
remotion-video-creation	everything-claude-code	/tmp/ecc/skills/remotion-video-creation
marketing-campaign	everything-claude-code	/tmp/ecc/skills/marketing-campaign
csharp-testing	everything-claude-code	/tmp/ecc/skills/csharp-testing
github-ops	everything-claude-code	/tmp/ecc/skills/github-ops
backend-patterns	everything-claude-code	/tmp/ecc/skills/backend-patterns
autonomous-loops	everything-claude-code	/tmp/ecc/skills/autonomous-loops
connections-optimizer	everything-claude-code	/tmp/ecc/skills/connections-optimizer
data-throughput-accelerator	everything-claude-code	/tmp/ecc/skills/data-throughput-accelerator
security-scan	everything-claude-code	/tmp/ecc/skills/security-scan
plan-orchestrate	everything-claude-code	/tmp/ecc/skills/plan-orchestrate
windows-desktop-e2e	everything-claude-code	/tmp/ecc/skills/windows-desktop-e2e
healthcare-cdss-patterns	everything-claude-code	/tmp/ecc/skills/healthcare-cdss-patterns
rust-patterns	everything-claude-code	/tmp/ecc/skills/rust-patterns
team-builder	everything-claude-code	/tmp/ecc/skills/team-builder
project-flow-ops	everything-claude-code	/tmp/ecc/skills/project-flow-ops
defi-amm-security	everything-claude-code	/tmp/ecc/skills/defi-amm-security
react-patterns	everything-claude-code	/tmp/ecc/skills/react-patterns
network-bgp-diagnostics	everything-claude-code	/tmp/ecc/skills/network-bgp-diagnostics
social-publisher	everything-claude-code	/tmp/ecc/skills/social-publisher
nestjs-patterns	everything-claude-code	/tmp/ecc/skills/nestjs-patterns
scientific-db-uspto-database	everything-claude-code	/tmp/ecc/skills/scientific-db-uspto-database
motion-ui	everything-claude-code	/tmp/ecc/skills/motion-ui
parallel-execution-optimizer	everything-claude-code	/tmp/ecc/skills/parallel-execution-optimizer
frontend-slides	everything-claude-code	/tmp/ecc/skills/frontend-slides
continuous-learning-v2	everything-claude-code	/tmp/ecc/skills/continuous-learning-v2
knowledge-ops	everything-claude-code	/tmp/ecc/skills/knowledge-ops
safety-guard	everything-claude-code	/tmp/ecc/skills/safety-guard
springboot-patterns	everything-claude-code	/tmp/ecc/skills/springboot-patterns
flox-environments	everything-claude-code	/tmp/ecc/skills/flox-environments
data-scraper-agent	everything-claude-code	/tmp/ecc/skills/data-scraper-agent
orch-pipeline	everything-claude-code	/tmp/ecc/skills/orch-pipeline
canary-watch	everything-claude-code	/tmp/ecc/skills/canary-watch
dotnet-patterns	everything-claude-code	/tmp/ecc/skills/dotnet-patterns
ito-data-atlas-agent	everything-claude-code	/tmp/ecc/skills/ito-data-atlas-agent
database-migrations	everything-claude-code	/tmp/ecc/skills/database-migrations
compose-multiplatform-patterns	everything-claude-code	/tmp/ecc/skills/compose-multiplatform-patterns
docker-patterns	everything-claude-code	/tmp/ecc/skills/docker-patterns
motion-advanced	everything-claude-code	/tmp/ecc/skills/motion-advanced
email-ops	everything-claude-code	/tmp/ecc/skills/email-ops
article-writing	everything-claude-code	/tmp/ecc/skills/article-writing
brand-voice	everything-claude-code	/tmp/ecc/skills/brand-voice
investor-outreach	everything-claude-code	/tmp/ecc/skills/investor-outreach
customer-billing-ops	everything-claude-code	/tmp/ecc/skills/customer-billing-ops
repo-scan	everything-claude-code	/tmp/ecc/skills/repo-scan
market-research	everything-claude-code	/tmp/ecc/skills/market-research
django-security	everything-claude-code	/tmp/ecc/skills/django-security
e2e-testing	everything-claude-code	/tmp/ecc/skills/e2e-testing
rust-testing	everything-claude-code	/tmp/ecc/skills/rust-testing
scientific-thinking-literature-review	everything-claude-code	/tmp/ecc/skills/scientific-thinking-literature-review
customs-trade-compliance	everything-claude-code	/tmp/ecc/skills/customs-trade-compliance
quarkus-verification	everything-claude-code	/tmp/ecc/skills/quarkus-verification
homelab-wireguard-vpn	everything-claude-code	/tmp/ecc/skills/homelab-wireguard-vpn
agent-payment-x402	everything-claude-code	/tmp/ecc/skills/agent-payment-x402
code-tour	everything-claude-code	/tmp/ecc/skills/code-tour
google-workspace-ops	everything-claude-code	/tmp/ecc/skills/google-workspace-ops
api-design	everything-claude-code	/tmp/ecc/skills/api-design
swift-actor-persistence	everything-claude-code	/tmp/ecc/skills/swift-actor-persistence
python-patterns	everything-claude-code	/tmp/ecc/skills/python-patterns
latency-critical-systems	everything-claude-code	/tmp/ecc/skills/latency-critical-systems
django-verification	everything-claude-code	/tmp/ecc/skills/django-verification
git-workflow	everything-claude-code	/tmp/ecc/skills/git-workflow
django-patterns	everything-claude-code	/tmp/ecc/skills/django-patterns
jpa-patterns	everything-claude-code	/tmp/ecc/skills/jpa-patterns
security-review	everything-claude-code	/tmp/ecc/skills/security-review
opensource-pipeline	everything-claude-code	/tmp/ecc/skills/opensource-pipeline
recursive-decision-ledger	everything-claude-code	/tmp/ecc/skills/recursive-decision-ledger
eval-harness	everything-claude-code	/tmp/ecc/skills/eval-harness
ui-to-vue	everything-claude-code	/tmp/ecc/skills/ui-to-vue
ck	everything-claude-code	/tmp/ecc/skills/ck
production-audit	everything-claude-code	/tmp/ecc/skills/production-audit
kotlin-coroutines-flows	everything-claude-code	/tmp/ecc/skills/kotlin-coroutines-flows
mysql-patterns	everything-claude-code	/tmp/ecc/skills/mysql-patterns
agentic-os	everything-claude-code	/tmp/ecc/skills/agentic-os
clickhouse-io	everything-claude-code	/tmp/ecc/skills/clickhouse-io
ito-trade-planner	everything-claude-code	/tmp/ecc/skills/ito-trade-planner
prediction-market-oracle-research	everything-claude-code	/tmp/ecc/skills/prediction-market-oracle-research
product-capability	everything-claude-code	/tmp/ecc/skills/product-capability
kubernetes-patterns	everything-claude-code	/tmp/ecc/skills/kubernetes-patterns
fal-ai-media	everything-claude-code	/tmp/ecc/skills/fal-ai-media
connect	awesome-claude-skills	/tmp/acs/connect
brand-guidelines	awesome-claude-skills	/tmp/acs/brand-guidelines
changelog-generator	awesome-claude-skills	/tmp/acs/changelog-generator
competitive-ads-extractor	awesome-claude-skills	/tmp/acs/competitive-ads-extractor
domain-name-brainstormer	awesome-claude-skills	/tmp/acs/domain-name-brainstormer
theme-factory	awesome-claude-skills	/tmp/acs/theme-factory
skill-share	awesome-claude-skills	/tmp/acs/skill-share
meeting-insights-analyzer	awesome-claude-skills	/tmp/acs/meeting-insights-analyzer
developer-growth-analysis	awesome-claude-skills	/tmp/acs/developer-growth-analysis
twitter-algorithm-optimizer	awesome-claude-skills	/tmp/acs/twitter-algorithm-optimizer
tailored-resume-generator	awesome-claude-skills	/tmp/acs/tailored-resume-generator
webapp-testing	awesome-claude-skills	/tmp/acs/webapp-testing
skill-creator	awesome-claude-skills	/tmp/acs/skill-creator
template-skill	awesome-claude-skills	/tmp/acs/template-skill
slack-gif-creator	awesome-claude-skills	/tmp/acs/slack-gif-creator
raffle-winner-picker	awesome-claude-skills	/tmp/acs/raffle-winner-picker
artifacts-builder	awesome-claude-skills	/tmp/acs/artifacts-builder
mcp-builder	awesome-claude-skills	/tmp/acs/mcp-builder
image-enhancer	awesome-claude-skills	/tmp/acs/image-enhancer
langsmith-fetch	awesome-claude-skills	/tmp/acs/langsmith-fetch
content-research-writer	awesome-claude-skills	/tmp/acs/content-research-writer
connect-apps	awesome-claude-skills	/tmp/acs/connect-apps
internal-comms	awesome-claude-skills	/tmp/acs/internal-comms
canvas-design	awesome-claude-skills	/tmp/acs/canvas-design
video-downloader	awesome-claude-skills	/tmp/acs/video-downloader
lead-research-assistant	awesome-claude-skills	/tmp/acs/lead-research-assistant
file-organizer	awesome-claude-skills	/tmp/acs/file-organizer
invoice-organizer	awesome-claude-skills	/tmp/acs/invoice-organizer
salesforce-marketing-cloud-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/salesforce-marketing-cloud-automation
scrapingant-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/scrapingant-automation
pdf-co-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/pdf-co-automation
lemon_squeezy-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/lemon_squeezy-automation
spoki-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/spoki-automation
alchemy-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/alchemy-automation
builtwith-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/builtwith-automation
rippling-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/rippling-automation
gumroad-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/gumroad-automation
mails-so-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/mails-so-automation
eventbrite-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/eventbrite-automation
mapbox-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/mapbox-automation
kadoa-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/kadoa-automation
insighto-ai-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/insighto-ai-automation
bolt-iot-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/bolt-iot-automation
landbot-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/landbot-automation
calendarhero-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/calendarhero-automation
test-app-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/test-app-automation
starton-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/starton-automation
firecrawl-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/firecrawl-automation
daffy-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/daffy-automation
replicate-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/replicate-automation
respond-io-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/respond-io-automation
wave_accounting-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/wave_accounting-automation
jobnimbus-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/jobnimbus-automation
apex27-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/apex27-automation
mistral-ai-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/mistral-ai-automation
anthropic_administrator-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/anthropic_administrator-automation
bigpicture-io-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/bigpicture-io-automation
influxdb-cloud-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/influxdb-cloud-automation
turso-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/turso-automation
parsera-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/parsera-automation
amcards-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/amcards-automation
go-to-webinar-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/go-to-webinar-automation
control-d-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/control-d-automation
textit-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/textit-automation
qualaroo-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/qualaroo-automation
zoominfo-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/zoominfo-automation
zoho-desk-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/zoho-desk-automation
turbot-pipes-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/turbot-pipes-automation
coassemble-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/coassemble-automation
shortpixel-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/shortpixel-automation
wakatime-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/wakatime-automation
habitica-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/habitica-automation
baselinker-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/baselinker-automation
fibery-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/fibery-automation
tripadvisor-content-api-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/tripadvisor-content-api-automation
userlist-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/userlist-automation
owl-protocol-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/owl-protocol-automation
moxie-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/moxie-automation
docuseal-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/docuseal-automation
etermin-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/etermin-automation
brex-staging-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/brex-staging-automation
woodpecker-co-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/woodpecker-co-automation
bestbuy-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/bestbuy-automation
klipfolio-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/klipfolio-automation
mx-toolbox-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/mx-toolbox-automation
moz-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/moz-automation
goody-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/goody-automation
minerstat-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/minerstat-automation
intelliprint-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/intelliprint-automation
botpress-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/botpress-automation
files-com-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/files-com-automation
zoho-mail-automation	awesome-claude-skills:composio	/tmp/acs/composio-skills/zoho-mail-automation
